Number;Property;Title;Value;Format;State;Id;
37;7719028495-Secondaryschoolsspecificsubjects;(Архив) Средняя образовательная школа с углубленным изучением отдельных предметов;https://data.mos.ru/apiproxy/opendata/7719028495-srednyaya-obrazovatelnaya-shkola-s-uglublennym-izucheniem-otdelnyh-predmetov/meta.csv;csv;Архивный;567;
38;7719028495-Secondaryschoolethno;(Архив) Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования;https://data.mos.ru/apiproxy/opendata/7719028495-srednyaya-obshcheobrazovatelnaya-shkola-s-etnokulturnym-natsionalnym-komponentom-obrazovaniya/meta.csv;csv;Архивный;568;
39;7719028495-PsychologicalRehabilitationCenters;(Архив) Центр психолого-педагогической реабилитации и коррекции;https://data.mos.ru/apiproxy/opendata/7719028495-tsentr-psihologo-pedagogicheskoy-reabilitatsii-i-korrektsii/meta.csv;csv;Архивный;577;
40;7719028495-CentresofExcellence;(Архив) Центры повышения квалификации;https://data.mos.ru/apiproxy/opendata/7719028495-tsentry-povysheniya-kvalifikatsii/meta.csv;csv;Архивный;578;
41;7719028495-psychologicalcenter;(Архив) Центры психолого-медико-социального сопровождения;https://data.mos.ru/apiproxy/opendata/7719028495-tsentry-psihologo-mediko-sotsialnogo-soprovojdeniya/meta.csv;csv;Архивный;579;
42;7719028495-Schoolsofhomeeducation;(Архив) Школы надомного обучения;https://data.mos.ru/apiproxy/opendata/7719028495-shkoly-nadomnogo-obucheniya/meta.csv;csv;Архивный;581;
43;7719028495-educationalcomplex;(Архив) Школы, имеющие в своем составе детские сады (образовательные комплексы);https://data.mos.ru/apiproxy/opendata/7719028495-shkoly-imeyushchie-v-svoem-sostave-detskie-sady-obrazovatelnye-kompleksy/meta.csv;csv;Архивный;582;
44;7719028495-Boardingschools;(Архив) Школы-интернаты;https://data.mos.ru/apiproxy/opendata/7719028495-shkoly-internaty/meta.csv;csv;Архивный;583;
45;7719028495-Boardingschoolspecificsubjects;(Архив) Школы-интернаты с углубленным изучением отдельных предметов;https://data.mos.ru/apiproxy/opendata/7719028495-shkoly-internaty-s-uglublennym-izucheniem-otdelnyh-predmetov/meta.csv;csv;Архивный;584;
46;7730544207-TOP30exposedpenalties;ТОП-30 предприятий по объемам выставленных штрафных санкций;https://data.mos.ru/apiproxy/opendata/7730544207-top-30-predpriyatiy-po-obemam-vystavlennyh-shtrafnyh-sanktsiy/meta.csv;csv;Активный;1495;
47;7719028495-EcologicalBiological;(Архив) Эколого-биологическое направление;https://data.mos.ru/apiproxy/opendata/7719028495-ekologo-biologicheskoe-napravlenie/meta.csv;csv;Архивный;585;
48;7710881420-alcoholicbeverages;Объекты розничной торговли и общественного питания, имеющие лицензию на розничную продажу алкогольной продукции с указанием срока ее действия;https://data.mos.ru/apiproxy/opendata/7710881420-obekty-roznichnoy-torgovli-i-obshchestvennogo-pitaniya-imeyushchie-litsenziyu-na-roznichnuyu-prodaju-alkogolnoy-produktsii-s-ukazaniem-sroka-ee-deystviya/meta.csv;csv;Активный;586;
49;7719028495-Touristandlocallore;(Архив) Туристско-краеведческое направление;https://data.mos.ru/apiproxy/opendata/7719028495-turistsko-kraevedcheskoe-napravlenie/meta.csv;csv;Архивный;569;
50;7719028495-Trainingindustrial;(Архив) Учебно-производственные комбинаты;https://data.mos.ru/apiproxy/opendata/7719028495-uchebno-proizvodstvennye-kombinaty/meta.csv;csv;Архивный;570;
51;7719028495-Sportdirection;(Архив) Физкультурно-спортивное направление;https://data.mos.ru/apiproxy/opendata/7719028495-fizkulturno-sportivnoe-napravlenie/meta.csv;csv;Архивный;572;
52;7719028495-diagnosisCentre;(Архив) Центр диагностики и консультирования;https://data.mos.ru/apiproxy/opendata/7719028495-tsentr-diagnostiki-i-konsultirovaniya/meta.csv;csv;Архивный;574;
53;7705031674-delimitedland;Земельные участки в собственности города Москвы и неразграниченной собственности;https://data.mos.ru/apiproxy/opendata/7705031674-zemelnye-uchastki-v-sobstvennosti-goroda-moskvy-i-nerazgranichennoy-sobstvennosti/meta.csv;csv;Активный;1497;
54;7719028495-CurativeEducationCenter;(Архив) Центр лечебной педагогики и дифференцированного обучения;https://data.mos.ru/apiproxy/opendata/7719028495-tsentr-lechebnoy-pedagogiki-i-differentsirovannogo-obucheniya/meta.csv;csv;Архивный;575;
55;7719028495-EducationCenters;(Архив) Центр образования;https://data.mos.ru/apiproxy/opendata/7719028495-tsentr-obrazovaniya/meta.csv;csv;Архивный;576;
56;7705031674-ownerland;(Архив) Земельные участки, находящиеся в собственности города Москвы;https://data.mos.ru/apiproxy/opendata/7705031674-zemelnye-uchastki-nahodyashchiesya-v-sobstvennosti-goroda-moskvy/meta.csv;csv;Архивный;521;
57;7702155262-library;Библиотеки;https://data.mos.ru/apiproxy/opendata/7702155262-biblioteki/meta.csv;csv;Активный;526;
58;7705021556-Obektykulturnogonaslediya;Объекты культурного наследия;https://data.mos.ru/apiproxy/opendata/7705021556-obekty-kulturnogo-naslediya-i-vyyavlennye-obekty-kulturnogo-naslediya/meta.csv;csv;Активный;530;
59;7710878000-ShrovetideLocations;(Архив) Места проведения праздничных мероприятий, посвященных Масленице;https://data.mos.ru/apiproxy/opendata/7710878000-mesta-provedeniya-prazdnichnyh-meropriyatiy-posvyashchennyh-maslenitse/meta.csv;csv;Архивный;1345;
60;7719028495-Eveningschools;(Архив) Вечерние школы;https://data.mos.ru/apiproxy/opendata/7719028495-vechernie-shkoly/meta.csv;csv;Архивный;535;
61;7719028495-gymnasium;(Архив) Гимназия;https://data.mos.ru/apiproxy/opendata/7719028495-gimnaziya/meta.csv;csv;Архивный;538;
62;7719028495-kindergartens;(Архив) Детские сады;https://data.mos.ru/apiproxy/opendata/7719028495-detskie-sady/meta.csv;csv;Архивный;540;
63;7719028495-kombikindergarten;(Архив) Детский сад комбинированного вида;https://data.mos.ru/apiproxy/opendata/7719028495-detskiy-sad-kombinirovannogo-vida/meta.csv;csv;Архивный;541;
64;7719028495-science;(Архив) Естественнонаучное направление;https://data.mos.ru/apiproxy/opendata/7719028495-estestvennonauchnoe-napravlenie/meta.csv;csv;Архивный;543;
65;7719028495-Cadetboardingschools;(Архив) Кадетские школы-интернаты;https://data.mos.ru/apiproxy/opendata/7719028495-kadetskie-shkoly-internaty/meta.csv;csv;Архивный;545;
66;7719028495-CorrectionalSchool;(Архив) Коррекционная общеобразовательная школа;https://data.mos.ru/apiproxy/opendata/7719028495-korrektsionnaya-obshcheobrazovatelnaya-shkola/meta.csv;csv;Архивный;548;
67;7719028495-Correctionalboardingschool;(Архив) Коррекционная общеобразовательная школа-интернат;https://data.mos.ru/apiproxy/opendata/7719028495-korrektsionnaya-obshcheobrazovatelnaya-shkola-internat/meta.csv;csv;Архивный;549;
